rank,name,pubkey,state,unmet_rate_pct,unmet_epochs_count,evaluated_epochs,missing_epochs,not_bonus_rate_pct,bonus,baseline,none,none_high_third_party_stake,unmet_epoch_list,window
1,,XAqHfPFsqTfAJHBRHAcEECkMSykXjkUj2Rta16Qshrk,Approved,100.0,10,10,0,100.0,0,0,10,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998,998-1007
2,,6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi,Approved,100.0,10,10,0,100.0,0,0,10,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998,998-1007
3,Aursen,AurseT3W3tk1dATBWAXtWR6oubBgECqintfcvP74teU3,Approved,100.0,10,10,0,100.0,0,0,10,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998,998-1007
4,MX Validator,mXv18ov8qCiQGs3ieoen981LdgZzYJjJak6reK6fpNC,Approved,100.0,10,10,0,100.0,0,0,10,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998,998-1007
5,Syndica,SyndicAgdEphcy5xhAKZAomTYhcF8xhC7za2UD9xeug,Approved,100.0,10,10,0,100.0,0,0,10,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998,998-1007
6,,SaV6UWBaE8M3kwMBfAhQ6Tmvd2qdJRm94NTwLqtoyGd,Approved,100.0,6,6,4,100.0,0,0,6,0,1003 1002 1001 1000 999 998,998-1007
7,Xandeum Labs low fee + MEV = 🔥APY %,BitokuDHQiAhpUKrwx1VssAAoW5Rst8zB6gpfoaxM3Kh,Approved,90.0,9,10,0,90.0,1,0,9,0,1006 1005 1004 1003 1002 1001 1000 999 998,998-1007
8,Hypo Nyms,nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,Approved,80.0,8,10,0,80.0,2,0,8,0,1005 1004 1003 1002 1001 1000 999 998,998-1007
9,Project 0 Meridian,mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,Approved,80.0,8,10,0,80.0,2,0,8,0,1005 1004 1003 1002 1001 1000 999 998,998-1007
10,Stellium,Ste1115xFGdAYK5jaWA3dEFcUc1S5jEbVvD8e327zty,Approved,80.0,8,10,0,80.0,2,0,8,0,1005 1004 1003 1002 1001 1000 999 998,998-1007
11,,BCS95L5JHBWHvWkcEJBEF3BH5QHxKcPeaTgoYmHLvfFh,Approved,62.5,5,8,2,62.5,3,0,5,0,1005 1004 1003 1002 1001,998-1007
12,,KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,Approved,60.0,6,10,0,60.0,4,0,6,0,1007 1006 1005 1004 1003 1002,998-1007
13,Bay3,bay3wXfJsu9ds1zQBoQQ4DUwFGs3NP6q4gca9WM5G1z,Approved,60.0,6,10,0,60.0,4,0,6,0,1007 1006 1005 1004 1003 1002,998-1007
14,ERPC,KTMkUG8WCw9FdH44jLMBpc1teGafnYL6SgP4fHHbsNM,Approved,60.0,6,10,0,60.0,4,0,6,0,1003 1002 1001 1000 999 998,998-1007
15,,RLMS1pv3YKi7CSUCKTNcFN5fFkXJc2SmCwPhbQpqZJo,Approved,50.0,5,10,0,50.0,5,0,5,0,1007 1006 1005 1004 1003,998-1007
16,,8cnksBVjDPspn3AvmxJd8JKUdh4uWDDXzDemPmDctaHi,Approved,50.0,5,10,0,50.0,5,0,5,0,1007 1006 1005 1004 1003,998-1007
17,Fountainhead 🌱 Funding Dev WITH max APY,fhsM2sxME8cHrrk3qvtMsRRDv5AoLFja7NjNnHeYZxe,Approved,50.0,5,10,0,50.0,5,0,5,0,1002 1001 1000 999 998,998-1007
18,KAST,GkFT5nmcFVmJiLwuE98PjdF3LReMeq4WbejFHfwrnsgw,Approved,50.0,5,10,0,50.0,5,0,5,0,1002 1001 1000 999 998,998-1007
