rank,name,pubkey,state,unmet_rate_pct,unmet_epochs_count,evaluated_epochs,missing_epochs,not_bonus_rate_pct,bonus,baseline,none,none_high_third_party_stake,unmet_epoch_list,window
19,SolGuardian,HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,Approved,50.0,5,10,0,50.0,5,0,5,0,1007 1001 1000 999 998,998-1007
20,val37,CpuDNi3iVoHXbaT8gHpzKe6rqeBasoYjEKi21q7NRVJS,Approved,50.0,5,10,0,50.0,5,0,5,0,1002 1001 1000 999 998,998-1007
21,🔥💃🇸🇬 CeriumXYZ,idCE5k2BtTpwXdwAC7Var1enT9reut9fWECcxQP7LY7,Approved,50.0,5,10,0,50.0,5,0,5,0,1002 1001 1000 999 998,998-1007
22,Aurora Validator,3V2xaccDpFib4DbTksdiveNDmiwpXBqSWyjSof3w1Bg7,Approved,40.0,4,10,0,40.0,6,0,4,0,1001 1000 999 998,998-1007
23,Bubbles,H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T,Approved,40.0,4,10,0,40.0,6,0,4,0,1001 1000 999 998,998-1007
24,Cavey Cool,CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Approved,40.0,4,10,0,40.0,6,0,4,0,1001 1000 999 998,998-1007
25,Iggyz,1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Approved,40.0,4,10,0,40.0,6,0,4,0,1007 1006 1005 1004,998-1007
26,LI.FI,LiFiDJwJjW98MB8wxcnXpafKYsuz1hwpUkuszkERiX6,Approved,40.0,4,10,0,40.0,6,0,4,0,1007 1006 1005 1004,998-1007
27,MARVEL+MEV!,5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,Approved,40.0,4,10,0,40.0,6,0,4,0,1007 1006 1005 1004,998-1007
28,Serhio911,DiFeTctQSaNczJNmZ5121kYqLaBe9wDpM9sjCzTELJLE,Approved,40.0,4,10,0,40.0,6,0,4,0,1007 1006 1005 1004,998-1007
29,Solar | Empowering Youth | 0% Fee + MEV Rewards,7nzTzRZzezmugqE5ZjHRMxarhXunpwZ2PUdjV7uYzt7A,Approved,40.0,4,10,0,40.0,6,0,4,0,1001 1000 999 998,998-1007
30,,BirdeyeK5yooepHNNgaW2bGGDD2jmib4oSRFTHyELbZ1,Approved,30.0,3,10,0,30.0,7,0,3,0,1007 1006 1005,998-1007
31,Banana Business (BB),3YX7PQuESmR2h95FDgjahEQjyCBhmY1Ts2MsrM1Kg9DS,Approved,20.0,2,10,0,20.0,8,0,2,0,1007 1006,998-1007
32,Udder Chaos 🐄,ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6,Approved,20.0,2,10,0,20.0,8,0,2,0,1007 998,998-1007
33,ILY♡ Validator ➕ Firedancer🔥 ||neochibi culture X:@ILY_validator,ByszyWdqC3rVMWy8f6jwK5cmwkpwYdwsr7UL58xS5vnm,Approved,10.0,1,10,0,10.0,9,0,1,0,1007,998-1007
34,Jaguar,jagBNeXYncnn1hzwSq1JJ16XhWTgQ7DCFVqndSJZ6vT,Approved,10.0,1,10,0,10.0,9,0,1,0,1001,998-1007
35,mallow,mALL2W6DUgDDtcyurC9v5YTF2CMMeuRwPBkf6tEoG3y,Approved,10.0,1,10,0,10.0,9,0,1,0,1005,998-1007
36,Orca,ECZx4Dfyn2o55KTYbM9r3Dt4VZRcrdfdrst7sUbWgrdU,Approved,10.0,1,10,0,10.0,9,0,1,0,1005,998-1007
37,PK,PKdLMugp1Mf88Ji1GkdqRDBewaUh2cqg79CBEo6eJoQ,Approved,10.0,1,10,0,40.0,6,3,1,0,998,998-1007
38,Solstice,5pZvwjSpGYCxpJeySwSbSAji7kZe4YntL7rQvXM3YcNT,Approved,10.0,1,10,0,10.0,9,0,1,0,1005,998-1007
