rank,name,pubkey,state,unmet_rate_pct,unmet_epochs_count,evaluated_epochs,missing_epochs,not_bonus_rate_pct,bonus,baseline,none,none_high_third_party_stake,unmet_epoch_list,window
1,Syndica,SyndicAgdEphcy5xhAKZAomTYhcF8xhC7za2UD9xeug,Approved,90.0,27,30,0,90.0,3,0,27,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986 982 981 980 979 978,978-1007
2,Aursen,AurseT3W3tk1dATBWAXtWR6oubBgECqintfcvP74teU3,Approved,83.3,25,30,0,83.3,5,0,25,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986 985 984 983,978-1007
3,,6c6RrC9TWNgiVXnbZ6hehNuhyh81pZK1yAj5w2nXZTwi,Approved,80.0,24,30,0,80.0,6,0,24,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986 985 984,978-1007
4,,SaV6UWBaE8M3kwMBfAhQ6Tmvd2qdJRm94NTwLqtoyGd,Approved,69.2,18,26,4,69.2,8,0,18,0,1003 1002 1001 1000 999 998 997 996 995 994 993 992 991 990 989 988 987 986,978-1007
5,,PuRposE4utktenW49N8DCtVzdVEwYrmsrroboEUram4,Approved,54.2,13,24,6,54.2,11,0,13,0,997 996 994 993 992 991 990 983 982 981 980 979 978,978-1007
6,MX Validator,mXv18ov8qCiQGs3ieoen981LdgZzYJjJak6reK6fpNC,Approved,53.3,16,30,0,53.3,14,0,16,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 987 986 980 979 978,978-1007
7,,XAqHfPFsqTfAJHBRHAcEECkMSykXjkUj2Rta16Qshrk,Approved,43.3,13,30,0,43.3,17,0,13,0,1007 1006 1005 1004 1003 1002 1001 1000 999 998 997 996 995,978-1007
8,SolGuardian,HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,Approved,43.3,13,30,0,43.3,17,0,13,0,1007 1001 1000 999 998 997 996 995 994 993 992 991 990,978-1007
9,ERPC,KTMkUG8WCw9FdH44jLMBpc1teGafnYL6SgP4fHHbsNM,Approved,40.0,12,30,0,40.0,18,0,12,0,1003 1002 1001 1000 999 998 997 996 995 994 993 986,978-1007
10,Bubbles,H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T,Approved,36.7,11,30,0,36.7,19,0,11,0,1001 1000 999 998 997 996 995 987 986 985 979,978-1007
