rank,name,pubkey,state,unmet_rate_pct,unmet_epochs_count,evaluated_epochs,missing_epochs,not_bonus_rate_pct,bonus,baseline,none,none_high_third_party_stake,unmet_epoch_list,window
11,Hypo Nyms,nymsHergYedT9CJMgtGMvqXUTGcbs5o3MiWTJUbqTGY,Approved,36.7,11,30,0,36.7,19,0,11,0,1005 1004 1003 1002 1001 1000 999 998 997 996 995,978-1007
12,KAST,GkFT5nmcFVmJiLwuE98PjdF3LReMeq4WbejFHfwrnsgw,Approved,36.7,11,30,0,36.7,19,0,11,0,1002 1001 1000 999 998 997 996 995 994 993 992,978-1007
13,Project 0 Meridian,mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,Approved,36.7,11,30,0,36.7,19,0,11,0,1005 1004 1003 1002 1001 1000 999 998 997 996 995,978-1007
14,Fountainhead 🌱 Funding Dev WITH max APY,fhsM2sxME8cHrrk3qvtMsRRDv5AoLFja7NjNnHeYZxe,Approved,33.3,10,30,0,33.3,20,0,10,0,1002 1001 1000 999 998 997 996 995 994 993,978-1007
15,Stellium,Ste1115xFGdAYK5jaWA3dEFcUc1S5jEbVvD8e327zty,Approved,33.3,10,30,0,33.3,20,0,10,0,1005 1004 1003 1002 1001 1000 999 998 997 996,978-1007
16,Udder Chaos 🐄,ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6,Approved,33.3,10,30,0,33.3,20,0,10,0,1007 998 997 996 987 986 981 980 979 978,978-1007
17,Xandeum Labs low fee + MEV = 🔥APY %,BitokuDHQiAhpUKrwx1VssAAoW5Rst8zB6gpfoaxM3Kh,Approved,33.3,10,30,0,33.3,20,0,10,0,1006 1005 1004 1003 1002 1001 1000 999 998 997,978-1007
18,,sZAqxCSN5kkVfG2s65Bje4jzCkD2aLyk21qU95PMf2Y,Approved,33.3,8,24,6,33.3,16,0,8,0,1001 1000 999 998 997 996 995 994,978-1007
19,,12i8gndWWWMTRzJBFhnYkobNgZB3XMUUJq75HeUrshrk,Approved,33.3,7,21,9,57.1,9,5,7,0,998 997 996 995 994 989 987,978-1007
20,Forbole,forb5u56XgvzxiKfRt4FVNFQKJrd2LWAfNCsCqL6P7q,Approved,30.0,9,30,0,30.0,21,0,9,0,996 995 985 983 982 981 980 979 978,978-1007
21,Solar | Empowering Youth | 0% Fee + MEV Rewards,7nzTzRZzezmugqE5ZjHRMxarhXunpwZ2PUdjV7uYzt7A,Approved,30.0,9,30,0,30.0,21,0,9,0,1001 1000 999 998 997 996 995 994 993,978-1007
22,Validatore,D2RV1q6FgePVVjrMa7AMzVbvvAeg5oS7TAV7qdNKSDsX,Approved,30.0,9,30,0,40.0,18,3,9,0,997 996 992 991 990 989 988 987 986,978-1007
23,,stacheBmGG5zMKuetUevAbc4m4dLbve1VPcpSur3voH,Approved,28.6,6,21,9,28.6,15,0,6,0,998 997 996 995 994 993,978-1007
24,,KoLibrJsbABbtmtFPc7nPvDxT81rc4UPM7mY9xSLjpo,Approved,26.7,8,30,0,26.7,22,0,8,0,1007 1006 1005 1004 1003 1002 986 985,978-1007
25,Aurora Validator,3V2xaccDpFib4DbTksdiveNDmiwpXBqSWyjSof3w1Bg7,Approved,26.7,8,30,0,26.7,22,0,8,0,1001 1000 999 998 997 996 995 994,978-1007
26,Bay3,bay3wXfJsu9ds1zQBoQQ4DUwFGs3NP6q4gca9WM5G1z,Approved,26.7,8,30,0,26.7,22,0,8,0,1007 1006 1005 1004 1003 1002 979 978,978-1007
27,Cavey Cool,CaveyttUBTKttncu1e4RF814XjuoGfYv8cEsiKGDNCPX,Approved,26.7,8,30,0,26.7,22,0,8,0,1001 1000 999 998 997 996 995 986,978-1007
28,🔥💃🇸🇬 CeriumXYZ,idCE5k2BtTpwXdwAC7Var1enT9reut9fWECcxQP7LY7,Approved,26.7,8,30,0,26.7,22,0,8,0,1002 1001 1000 999 998 997 996 995,978-1007
29,,4SgoyAwN26iu9Gpf12Bk1rnzp4G4yDUM3XVv4w7VQcAf,Approved,25.0,5,20,10,25.0,15,0,5,0,997 996 995 994 993,978-1007
30,,13DmVBcyrSdsSsLWaKH9x1dwxDf48Wu5wprwxMmLshrk,Approved,23.8,5,21,9,23.8,16,0,5,0,998 997 996 995 994,978-1007
31,,BSMe78Jk1BfeJDdHQj1aXVjrT2aMAYidyNAGQsTshrk,Approved,23.8,5,21,9,23.8,16,0,5,0,998 997 996 995 994,978-1007
32,,uxqVAFQfox97HazsPtkKiwhypQH6jEGXkQBHDtXshrk,Approved,23.8,5,21,9,23.8,16,0,5,0,998 997 996 995 994,978-1007
33,,U82KEYMnuCiZSQbvuCJTZ652HX9NQ63uNSnxyucshrk,Approved,23.8,5,21,9,23.8,16,0,5,0,998 997 996 995 994,978-1007
34,,kREnNfJrPEHbrjSQDxmxZdGmN6hi7ewXZ3UZTURshrk,Approved,23.8,5,21,9,23.8,16,0,5,0,998 997 996 995 994,978-1007
35,,q1yPXLsYcJhzxhUYLewFDjYmsBh2gDFnYqrZ9VPshrk,Approved,23.8,5,21,9,23.8,16,0,5,0,998 997 996 995 994,978-1007
36,,5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk,Approved,23.8,5,21,9,23.8,16,0,5,0,998 997 996 995 994,978-1007
37,,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,Approved,22.7,5,22,8,22.7,17,0,5,0,999 998 997 996 995,978-1007
38,,RLMS1pv3YKi7CSUCKTNcFN5fFkXJc2SmCwPhbQpqZJo,Approved,20.0,6,30,0,20.0,24,0,6,0,1007 1006 1005 1004 1003 978,978-1007
39,Banana Business (BB),3YX7PQuESmR2h95FDgjahEQjyCBhmY1Ts2MsrM1Kg9DS,Approved,20.0,6,30,0,20.0,24,0,6,0,1007 1006 987 986 979 978,978-1007
40,Lion3d | 0% Forever + Block Rewards Sharing,CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,Approved,20.0,6,30,0,20.0,24,0,6,0,996 987 986 980 979 978,978-1007
41,Theta,8AkVj5aAtJ27tYXeq89cnSf68V43NarFHMx2iSDjZv7c,Approved,20.0,6,30,0,20.0,24,0,6,0,989 988 987 986 985 984,978-1007
42,val37,CpuDNi3iVoHXbaT8gHpzKe6rqeBasoYjEKi21q7NRVJS,Approved,20.0,6,30,0,20.0,24,0,6,0,1002 1001 1000 999 998 997,978-1007
43,,2Rv9npqdWE1mLPsT1r2obn3xtKmA5afkxt8GsWeLnKoc,Approved,19.0,4,21,9,19.0,17,0,4,0,998 997 996 995,978-1007
44,,BCS95L5JHBWHvWkcEJBEF3BH5QHxKcPeaTgoYmHLvfFh,Approved,17.9,5,28,2,17.9,23,0,5,0,1005 1004 1003 1002 1001,978-1007
45,,8cnksBVjDPspn3AvmxJd8JKUdh4uWDDXzDemPmDctaHi,Approved,16.7,5,30,0,16.7,25,0,5,0,1007 1006 1005 1004 1003,978-1007
46,Iggyz,1ggyZGbYtEo1WrV1kmXfnvhPeSPxrYAXoDBeApnszLT,Approved,13.3,4,30,0,13.3,26,0,4,0,1007 1006 1005 1004,978-1007
47,LI.FI,LiFiDJwJjW98MB8wxcnXpafKYsuz1hwpUkuszkERiX6,Approved,13.3,4,30,0,13.3,26,0,4,0,1007 1006 1005 1004,978-1007
48,MARVEL+MEV!,5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,Approved,13.3,4,30,0,13.3,26,0,4,0,1007 1006 1005 1004,978-1007
49,Orca,ECZx4Dfyn2o55KTYbM9r3Dt4VZRcrdfdrst7sUbWgrdU,Approved,13.3,4,30,0,13.3,26,0,4,0,1005 989 988 987,978-1007
50,PK,PKdLMugp1Mf88Ji1GkdqRDBewaUh2cqg79CBEo6eJoQ,Approved,13.3,4,30,0,23.3,23,3,4,0,998 997 996 995,978-1007
51,Serhio911,DiFeTctQSaNczJNmZ5121kYqLaBe9wDpM9sjCzTELJLE,Approved,13.3,4,30,0,13.3,26,0,4,0,1007 1006 1005 1004,978-1007
52,Tree Validator,TREEir31FswHK7JZBS5oFQteS72dobi6inpmQha88dA,Approved,13.3,4,30,0,13.3,26,0,4,0,997 996 986 980,978-1007
53,,BirdeyeK5yooepHNNgaW2bGGDD2jmib4oSRFTHyELbZ1,Approved,10.0,3,30,0,10.0,27,0,3,0,1007 1006 1005,978-1007
54,Sygnum Validators,CkCMabrc3HgBgDkeKPXkbWuQpUuSqW7zs1Mg3HFArx61,Approved,8.3,2,24,6,8.3,22,0,2,0,979 978,978-1007
55,11ama Validator,11AMA4mnNbsrPQeuoNN7uiZVJZtqEzQHrTfa5vnbcjk,Approved,6.7,2,30,0,13.3,26,2,2,0,993 986,978-1007
56,BlueLotus 👩‍💻,PAD9aPiKJGcbGxuVLbc8o4Vf65GPq3fJQ7PkHWuX6a8,Approved,6.7,2,30,0,6.7,28,0,2,0,997 996,978-1007
57,capy,capyS1jerxhFp1RehdWRG6kbWi8bnWF3fkEG2RGLsQf,Approved,6.7,2,30,0,6.7,28,0,2,0,989 988,978-1007
58,Chainflow,2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,Approved,6.7,2,30,0,6.7,28,0,2,0,979 978,978-1007
59,ILY♡ Validator ➕ Firedancer🔥 ||neochibi culture X:@ILY_validator,ByszyWdqC3rVMWy8f6jwK5cmwkpwYdwsr7UL58xS5vnm,Approved,6.7,2,30,0,16.7,25,3,2,0,1007 979,978-1007
60,Jaguar,jagBNeXYncnn1hzwSq1JJ16XhWTgQ7DCFVqndSJZ6vT,Approved,6.7,2,30,0,6.7,28,0,2,0,1001 997,978-1007
61,OmegaNode Validator,omeg2wsojzB7tfyAxsFhp8npxHL8yxVnaf51poXCwSd,Approved,6.7,2,30,0,20.0,24,4,2,0,992 979,978-1007
62,ReFi Hub,ReFiqMfGnc7tW8WQtFFcJRPZSDAWDBnAsdoFYF2QnfR,Approved,6.7,2,30,0,6.7,28,0,2,0,979 978,978-1007
63,Salmon Wallet,SA1LFXr4os2P4VKGUyRv84uFfuUYgcQkFh2uA4SmRcr,Approved,6.7,2,30,0,6.7,28,0,2,0,979 978,978-1007
64,Solid State Nodes,3CKKAoVi94EnfX8QcVxEmk8CAvZTc6nAYzXp1WkSUofX,Approved,6.7,2,30,0,6.7,28,0,2,0,979 978,978-1007
65,StakeITeasy🚀High APY + 0% fee✅ + MEV🔥,vahMVcSS3v6uwyFormV7FDAUbQSHwmy6vUedp1P7L42,Approved,6.7,2,30,0,6.7,28,0,2,0,987 986,978-1007
66,Stakin by The Tie,23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,Approved,6.7,2,30,0,6.7,28,0,2,0,979 978,978-1007
67,SteakStache,5t4shVsKnUqgjmhK3fFNsvyju2E6Rd7cc4S5pmqqEVEW,Approved,6.7,2,30,0,6.7,28,0,2,0,979 978,978-1007
68,Stakely | 0% fee,2X7WoaXX9KPqNrNfvguhnwo3rjFPNsfw2t75fGjWRthz,Approved,5.9,1,17,13,5.9,16,0,1,0,984,978-1007
69,Accretion | r0bre,AccReGBNBdUCEJ7ZyP231jw7uVJ3eF9u4cLBFAyqQuWm,Approved,3.3,1,30,0,16.7,25,4,1,0,984,978-1007
70,Albert is Great,rsbp8zMHbGCpLoRktmsjspYv77VcjxAzH1KxPCD9BiU,Approved,3.3,1,30,0,3.3,29,0,1,0,988,978-1007
71,anarcheuz,97jbhVBYcSmwGXjrx5PPWXucDsVBqwyoQ6rzP3B6eeMt,Approved,3.3,1,30,0,3.3,29,0,1,0,986,978-1007
72,Anchorage Digital,ANC1u9sY36q3mi2MyVhtz71un8yLgTsFBUuyLcSPzKsk,Approved,3.3,1,30,0,3.3,29,0,1,0,978,978-1007
73,Anza,anza1rXDVhy1NfVNtsbT3kSBh2jgB1BGZUKuUibSAJd,Approved,3.3,1,30,0,3.3,29,0,1,0,986,978-1007
74,gripto,grptonHnt7YSmJokGK9TJJTBXDT8ca4LSWMHCCfzzPa,Approved,3.3,1,30,0,3.3,29,0,1,0,992,978-1007
75,Huisky Staking,huinBRP3muBuqZLMW8ARjdn4mBnEmFFcxiBzrkQz553,Approved,3.3,1,30,0,3.3,29,0,1,0,986,978-1007
76,Latitude.sh,c3rtoMCHSbFrLRTAdw4iRowKSn4BrDtvSPbuyJwkHwx,Approved,3.3,1,30,0,3.3,29,0,1,0,979,978-1007
77,mallow,mALL2W6DUgDDtcyurC9v5YTF2CMMeuRwPBkf6tEoG3y,Approved,3.3,1,30,0,3.3,29,0,1,0,1005,978-1007
78,Neodyme,NdMV1C3XMCRqSBwBtNmoUNnKctYh95Ug4xb6FSTcAWr,Approved,3.3,1,30,0,3.3,29,0,1,0,986,978-1007
79,Nova Consortium,novaeuhY2JH2WHhc9KVTHDx2cyJZdXJC6faf4CtARZn,Approved,3.3,1,30,0,3.3,29,0,1,0,986,978-1007
80,Omakase,CZanBzZHFzrGY5qKzaX3CNhJ5smHEMTWFFnoeUi4J6dr,Approved,3.3,1,30,0,6.7,28,1,1,0,995,978-1007
81,Project Super,E99w1XfS4UNM1xUKXWEuDmj8Mduy7u65jm2NCULTspSV,Approved,3.3,1,30,0,3.3,29,0,1,0,981,978-1007
82,Rustiq Technology,8pyp3vfVPRziYdAYEyqkwytdBbdVbQmHqfQAVDcRV3w,Approved,3.3,1,30,0,3.3,29,0,1,0,984,978-1007
83,Solstice,5pZvwjSpGYCxpJeySwSbSAji7kZe4YntL7rQvXM3YcNT,Approved,3.3,1,30,0,3.3,29,0,1,0,1005,978-1007
84,some name,5AsoSeQtLoN8eLsf3wKrR3LwxHME4sTBGR6dpTCP1k3H,Approved,3.3,1,30,0,3.3,29,0,1,0,996,978-1007
85,stakefish 🐟,fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF,Approved,3.3,1,30,0,3.3,29,0,1,0,991,978-1007
86,Staking kiwi validator,3x9nibnhgBHWKMRiGnsXJELRBjviQpKyigfrXtKW27KJ,Approved,3.3,1,30,0,10.0,27,2,1,0,979,978-1007
87,Stronghold,91oPXTs2oq8VvJpQ5TnvXakFGnnJSpEB6HFWDtSctwMt,Approved,3.3,1,30,0,3.3,29,0,1,0,986,978-1007
88,WEB34EVER ∞ POSTHUMAN,7MTjmteQHhthwwTZhUzsc2dP4NBvGNRqj8jzdqNxHFGE,Approved,3.3,1,30,0,3.3,29,0,1,0,995,978-1007
89,xLabs,xLabscif2DLnYg39rQThqi7A9E45L9qiysRZhmZ1ARE,Approved,3.3,1,30,0,3.3,29,0,1,0,995,978-1007
